INSTNM,CITY,STABBR,ZIP,LATITUDE,LONGITUDE,C150_4,REGION
Alabama A & M University,Normal,AL,35762,34.783368,-86.568502,0.2874,5
University of Alabama at Birmingham,Birmingham,AL,35294-0110,33.505697,-86.799345,0.626,5
Amridge University,Montgomery,AL,36117-3553,32.362609,-86.17401,0.4,5
University of Alabama in Huntsville,Huntsville,AL,35899,34.724557,-86.640449,0.6191,5
Alabama State University,Montgomery,AL,36104-0271,32.364317,-86.295677,0.3018,5
The University of Alabama,Tuscaloosa,AL,35487-0100,33.211875,-87.545978,0.7369,5
Auburn University at Montgomery,Montgomery,AL,36117-3596,32.36736,-86.177544,0.3568,5
Auburn University,Auburn,AL,36849,32.599378,-85.488258,0.7921,5
Birmingham-Southern College,Birmingham,AL,35254,33.513774,-86.850552,0.6418,5
South University-Montgomery,Montgomery,AL,36116,32.342684,-86.216488,0.1538,5
Faulkner University,Montgomery,AL,36109-3390,32.384181,-86.21641,0.3766,5
Herzing University-Birmingham,Birmingham,AL,35209,33.468466,-86.832465,0.25,5
Huntingdon College,Montgomery,AL,36106-2148,32.351034,-86.284366,0.4694,5
Heritage Christian University,Florence,AL,35630-9977,34.856153,-87.663051,0.5,5
Jacksonville State University,Jacksonville,AL,36265,33.822938,-85.765321,0.5112,5
University of West Alabama,Livingston,AL,35470,32.588132,-88.186329,0.3804,5
Miles College,Fairfield,AL,35064-2621,33.482442,-86.908751,0.2566,5
University of Mobile,Mobile,AL,36613-2842,30.793247,-88.128934,0.5551,5
University of Montevallo,Montevallo,AL,35115-6000,33.10625,-86.865099,0.4938,5
University of North Alabama,Florence,AL,35632-0001,34.80731,-87.680407,0.5403,5
Oakwood University,Huntsville,AL,35896,34.756344,-86.652705,0.4891,5
Samford University,Birmingham,AL,35229-2240,33.464128,-86.791799,0.7988,5
Selma University,Selma,AL,36701,32.420387,-87.032392,0.24,5
University of South Alabama,Mobile,AL,36688-0002,30.696033,-88.178711,0.5257,5
Spring Hill College,Mobile,AL,36608-1780,30.694751,-88.138199,0.5612,5
Stillman College,Tuscaloosa,AL,35401,33.200006,-87.585278,0.4103,5
Talladega College,Talladega,AL,35160,33.433472,-86.112704,0.6497,5
Troy University,Troy,AL,36082-0001,31.799583,-85.95802,0.4684,5
Tuskegee University,Tuskegee,AL,36088-1920,32.4309,-85.708492,0.5709,5
University of Alaska Anchorage,Anchorage,AK,99508,61.190163,-149.82619,0.2894,8
Alaska Bible College,Palmer,AK,99645,61.598553,-149.111972,1.0,8
University of Alaska Fairbanks,Fairbanks,AK,99775,64.85756,-147.823146,0.3197,8
University of Alaska Southeast,Juneau,AK,99801-8697,58.384846,-134.638255,0.3097,8
Alaska Pacific University,Anchorage,AK,99508,61.190968,-149.804168,0.4688,8
Charter College,Anchorage,AK,99508-4103,61.19633,-149.839274,0.5753,8
Brookline College-Phoenix,Phoenix,AZ,85021,33.566102,-112.112473,0.5023,6
Arizona State University Campus Immersion,Tempe,AZ,85287,33.417721,-111.934383,0.6785,6
University of Arizona,Tucson,AZ,85721-0066,32.232672,-110.950815,0.6589,6
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,86301-3720,34.616766,-112.449741,0.6976,6
Glendale Community College,Glendale,AZ,85302,33.570226,-112.190735,0.144,6
Grand Canyon University,Phoenix,AZ,85017,33.513231,-112.129929,0.4304,6
GateWay Community College,Phoenix,AZ,85034,33.449686,-111.997077,0.1955,6
Dine College,Tsaile,AZ,86556,36.293328,-109.21684,0.0549,6
Northern Arizona University,Flagstaff,AZ,86011-4092,35.188449,-111.653724,0.5686,6
Pima Medical Institute-Tucson,Tucson,AZ,85712,32.248067,-110.878783,0.7264,6
Prescott College,Prescott,AZ,86301,34.5452,-112.477185,0.3594,6
Rio Salado College,Tempe,AZ,85281,33.413309,-111.97417,0.039,6
Arizona Christian University,Glendale,AZ,85306-3216,33.622952,-112.181776,0.4145,6
Yavapai College,Prescott,AZ,86301,34.547495,-112.453395,0.3213,6
University of Arkansas at Little Rock,Little Rock,AR,72204,34.723254,-92.339778,0.4142,5
Arkansas Baptist College,Little Rock,AR,72202-6068,34.734751,-92.290555,0.0798,5
Lyon College,Batesville,AR,72501,35.777619,-91.625354,0.5591,5
University of Arkansas,Fayetteville,AR,72701,36.070009,-94.176981,0.6997,5
University of Arkansas at Pine Bluff,Pine Bluff,AR,71601,34.244031,-92.018683,0.3968,5
Arkansas State University,Jonesboro,AR,72401,35.842388,-90.679988,0.551,5
Arkansas Tech University,Russellville,AR,72801-2222,35.293237,-93.13562,0.4866,5
University of Arkansas at Monticello,Monticello,AR,71656,33.590909,-91.811153,0.4327,5
University of Central Arkansas,Conway,AR,72035-0001,35.077945,-92.457672,0.5335,5
Central Baptist College,Conway,AR,72034,35.083838,-92.445021,0.3529,5
Crowley's Ridge College,Paragould,AR,72450,36.064845,-90.584395,0.2609,5
Harding University,Searcy,AR,72149-5615,35.247386,-91.726143,0.7094,5
Henderson State University,Arkadelphia,AR,71999-0001,34.128155,-93.059703,0.3805,5
Hendrix College,Conway,AR,72032-3080,35.101565,-92.443256,0.6923,5
John Brown University,Siloam Springs,AR,72761,36.189812,-94.560283,0.6677,5
Ouachita Baptist University,Arkadelphia,AR,71998-0001,34.126093,-93.052471,0.703,5
University of the Ozarks,Clarksville,AR,72830,35.476278,-93.467221,0.5176,5
Philander Smith University,Little Rock,AR,72202-3799,34.737131,-92.283015,0.3231,5
Williams Baptist University,Walnut Ridge,AR,72476,36.125676,-90.940277,0.3592,5
Southern Arkansas University Main Campus,Magnolia,AR,71753,33.291618,-93.235922,0.465,5
University of Arkansas-Fort Smith,Fort Smith,AR,72913-3649,35.384184,-94.373729,0.3696,5
Academy of Art University,San Francisco,CA,94105,37.787943,-122.400578,0.4046,8
Antelope Valley Community College District,Lancaster,CA,93536-5426,34.676207,-118.186166,0.3061,8
Art Center College of Design,Pasadena,CA,91103,34.169031,-118.185102,0.8261,8
Azusa Pacific University,Azusa,CA,91702-7000,34.130047,-117.888375,0.6442,8
Bakersfield College,Bakersfield,CA,93305-1299,35.40911,-118.973753,0.2263,8
Bethesda University,Anaheim,CA,92801,33.842295,-117.941323,0.1818,8
Biola University,La Mirada,CA,90639-0001,33.906203,-118.014374,0.6881,8
Bryan University,Tempe,AZ,85281,33.437779,-111.944197,0.24,6
California Baptist University,Riverside,CA,92504-3297,33.929321,-117.425619,0.5953,8
California College of the Arts,San Francisco,CA,94107-2247,37.767485,-122.399451,0.5872,8
California Institute of Technology,Pasadena,CA,91125,34.137349,-118.125878,0.9316,8
California Lutheran University,Thousand Oaks,CA,91360-2787,34.224566,-118.878924,0.7402,8
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,93407,35.299513,-120.657311,0.8519,8
Alliant International University-San Diego,San Diego,CA,92131,32.897056,-117.094398,0.2222,8
California State University-Bakersfield,Bakersfield,CA,93311-1099,35.350005,-119.104711,0.4931,8
California State University-Stanislaus,Turlock,CA,95382-0299,37.52577,-120.852511,0.58,8
California State University-San Bernardino,San Bernardino,CA,92407-2393,34.182622,-117.323801,0.5465,8
California State Polytechnic University-Pomona,Pomona,CA,91768,34.057912,-117.821476,0.6674,8
California State University-Chico,Chico,CA,95929-0150,39.729712,-121.844859,0.6363,8
California State University-Dominguez Hills,Carson,CA,90747-0005,33.864766,-118.255917,0.4685,8
California State University-Fresno,Fresno,CA,93740,36.811154,-119.744569,0.5482,8
California State University-Fullerton,Fullerton,CA,92832-3599,33.881506,-117.885446,0.6922,8
California State University-East Bay,Hayward,CA,94542,37.657694,-122.054135,0.4551,8
California State University-Long Beach,Long Beach,CA,90840-0115,33.782818,-118.11204,0.6986,8
California State University-Los Angeles,Los Angeles,CA,90032-8506,34.066927,-118.168965,0.5257,8
California State University-Northridge,Northridge,CA,91330,34.240126,-118.529319,0.5618,8
California State University-Sacramento,Sacramento,CA,95819-2694,38.559415,-121.423549,0.5582,8
University of California-Berkeley,Berkeley,CA,94720,37.871918,-122.260463,0.9289,8
University of California-Davis,Davis,CA,95616-8678,38.539667,-121.749567,0.8507,8
University of California-Irvine,Irvine,CA,92697,33.648434,-117.841248,0.8595,8
University of California-Los Angeles,Los Angeles,CA,90095-1405,34.07178,-118.442179,0.9266,8
University of California-Riverside,Riverside,CA,92521,33.97246,-117.32741,0.7656,8
University of California-San Diego,La Jolla,CA,92093,32.877749,-117.235866,0.8763,8
University of California-Santa Barbara,Santa Barbara,CA,93106,34.416297,-119.846426,0.8533,8
University of California-Santa Cruz,Santa Cruz,CA,95064-1011,36.995584,-122.058801,0.7445,8
California Institute of the Arts,Valencia,CA,91355-2397,34.39327,-118.566837,0.6415,8
California State University Maritime Academy,Vallejo,CA,94590-8181,38.069061,-122.231551,0.6682,8
Casa Loma College-Los Angeles,Sherman Oaks,CA,91403,34.155096,-118.466548,0.6322,8
Chapman University,Orange,CA,92866,33.79302,-117.852518,0.8036,8
Charles R Drew University of Medicine and Science,Los Angeles,CA,90059,33.925658,-118.242791,0.5,8
Concordia University-Irvine,Irvine,CA,92612-3203,33.653665,-117.812305,0.625,8
San Diego Christian College,Santee,CA,92071,32.843454,-116.978089,0.2353,8
Claremont McKenna College,Claremont,CA,91711-6400,34.102154,-117.711188,0.9517,8
University of Silicon Valley,San Jose,CA,95134,37.414049,-121.94087,0.3492,8
California College of ASU,Los Angeles,CA,90015,34.039355,-118.25968,0.4842,8
Cypress College,Cypress,CA,90630-5897,33.82833,-118.025143,0.351,8
Design Institute of San Diego,San Diego,CA,92121,32.880926,-117.167374,0.5,8
Dominican University of California,San Rafael,CA,94901-2298,37.981279,-122.512051,0.7627,8
Empire College,Santa Rosa,CA,95403-2126,38.468052,-122.729337,0.6466,8
FIDM-Fashion Institute of Design & Merchandising,Los Angeles,CA,90015-1421,34.044209,-118.25993,0.6715,8
Feather River Community College District,Quincy,CA,95971-9124,39.953101,-120.973067,0.4688,8
Foothill College,Los Altos Hills,CA,94022,37.361655,-122.127964,0.6,8
Fresno Pacific University,Fresno,CA,93702-4709,36.726831,-119.735199,0.5594,8
Glendale Career College,Glendale,CA,91203,34.149771,-118.254719,0.5934,8
Harvey Mudd College,Claremont,CA,91711,34.106515,-117.709837,0.9375,8
California State Polytechnic University-Humboldt,Arcata,CA,95521-8299,40.877481,-124.078293,0.4663,8
Humphreys University-Stockton and Modesto Campuses,Stockton,CA,95207,38.011489,-121.316918,0.5,8
Interior Designers Institute,Newport Beach,CA,92660,33.641393,-117.865722,0.875,8
American Jewish University,Los Angeles,CA,90077-1519,34.128153,-118.471706,0.3077,8
Life Pacific University,San Dimas,CA,91773-3298,34.098705,-117.829388,0.5682,8
University of La Verne,La Verne,CA,91750-4401,34.100855,-117.773262,0.6545,8
Laguna College of Art and Design,Laguna Beach,CA,92651,33.561448,-117.772564,0.6304,8
Latin American Bible Institute,La Puente,CA,91746-3099,34.030992,-117.989601,0.6,8
Lincoln University,Oakland,CA,94612-2801,37.804788,-122.269745,0.75,8
La Sierra University,Riverside,CA,92505-8247,33.910704,-117.500054,0.6806,8
The Master's University and Seminary,Santa Clarita,CA,91321-1200,34.381755,-118.518193,0.6375,8
Loyola Marymount University,Los Angeles,CA,90045-2659,33.97085,-118.415744,0.7978,8
Menlo College,Atherton,CA,94027-4301,37.453475,-122.190797,0.5133,8
MiraCosta College,Oceanside,CA,92056-3899,33.190483,-117.302606,0.411,8
Modesto Junior College,Modesto,CA,95350-5800,37.651056,-121.009792,0.261,8
Mount Saint Mary's University,Los Angeles,CA,90049-1599,34.085315,-118.482879,0.5342,8
Musicians Institute,Hollywood,CA,90028,34.101265,-118.337582,0.4596,8
National University,San Diego,CA,92123,32.829299,-117.127296,0.5,8
Newschool of Architecture and Design,San Diego,CA,92101,32.71331,-117.153305,0.5094,8
Notre Dame de Namur University,Belmont,CA,94002-1908,37.517111,-122.284794,0.3155,8
Occidental College,Los Angeles,CA,90041-3392,34.127124,-118.210908,0.8511,8
Otis College of Art and Design,Los Angeles,CA,90045-3505,33.956607,-118.416615,0.6059,8
Hope International University,Fullerton,CA,92831-3199,33.87616,-117.88573,0.4565,8
Pacific States University,Los Angeles,CA,90010-2263,34.061315,-118.298408,1.0,8
Pacific Union College,Angwin,CA,94508-9707,38.570585,-122.440308,0.5147,8
University of the Pacific,Stockton,CA,95211-0197,37.981424,-121.312301,0.6782,8
Pepperdine University,Malibu,CA,90263,34.037786,-118.707077,0.8467,8
Pitzer College,Claremont,CA,91711-6101,34.104107,-117.706675,0.8321,8
Point Loma Nazarene University,San Diego,CA,92106-2899,32.718391,-117.250265,0.7379,8
Pomona College,Claremont,CA,91711-4434,34.099027,-117.714556,0.9319,8
Santa Ana College,Santa Ana,CA,92706-3398,33.759309,-117.887558,0.3151,8
University of Redlands,Redlands,CA,92373-0999,34.064218,-117.163218,0.7068,8
Rio Hondo College,Whittier,CA,90601-1616,34.019821,-118.033506,0.2713,8
San Diego Mesa College,San Diego,CA,92111-4998,32.803825,-117.169165,0.3375,8
San Diego State University,San Diego,CA,92182-0001,32.77525,-117.071228,0.7827,8
University of San Diego,San Diego,CA,92110-2492,32.770816,-117.192073,0.8158,8
San Francisco Conservatory of Music,San Francisco,CA,94102-6011,37.775543,-122.420292,0.5246,8
San Francisco State University,San Francisco,CA,94132,37.721224,-122.476799,0.5015,8
University of San Francisco,San Francisco,CA,94117-1080,37.776618,-122.450477,0.7113,8
San Joaquin Valley College-Visalia,Visalia,CA,93291-9283,36.328049,-119.384981,0.339,8
William Jessup University,Rocklin,CA,95765-3707,38.819728,-121.292312,0.6071,8
San Jose State University,San Jose,CA,95192-0001,37.336569,-121.880621,0.6465,8
Santa Clara University,Santa Clara,CA,95053,37.348362,-121.93784,0.8845,8
Santa Monica College,Santa Monica,CA,90405-1628,34.017022,-118.469765,0.3583,8
Scripps College,Claremont,CA,91711-3905,34.104147,-117.711294,0.8712,8
Shasta Bible College and Graduate School,Redding,CA,96002,40.566034,-122.314419,0.3333,8
Shasta College,Redding,CA,96003,40.625731,-122.317982,0.2913,8
Simpson University,Redding,CA,96003-8606,40.61334,-122.332981,0.4167,8
Skyline College,San Bruno,CA,94066-1698,37.63042,-122.467335,0.4141,8
Saint Mary's College of California,Moraga,CA,94575,37.840731,-122.109031,0.6899,8
Solano Community College,Fairfield,CA,94534-3197,38.235881,-122.122368,0.3377,8
Sonoma State University,Rohnert Park,CA,94928-3609,38.340274,-122.677066,0.6052,8
Vanguard University of Southern California,Costa Mesa,CA,92626,33.662686,-117.900911,0.5586,8
Southern California Institute of Architecture,Los Angeles,CA,90013-1822,34.044215,-118.232799,0.7,8
University of Southern California,Los Angeles,CA,90089,34.021281,-118.284169,0.9199,8
Thomas Aquinas College,Santa Paula,CA,93060,34.429009,-119.087141,0.8202,8
Epic Bible College & Graduate School,Sacramento,CA,95841,38.645152,-121.362642,0.0,8
Walden University,Minneapolis,MN,55401,44.98125,-93.265738,0.0,4
West Los Angeles College,Culver City,CA,90230-3519,34.004512,-118.386664,0.2138,8
Carrington College-Sacramento,Sacramento,CA,95826,38.556104,-121.371383,0.518,8
Westmont College,Santa Barbara,CA,93108-1089,34.450151,-119.662517,0.7009,8
Whittier College,Whittier,CA,90601,33.978773,-118.032299,0.6339,8
Woodbury University,Burbank,CA,91504-1052,34.208011,-118.341147,0.5478,8
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,Los Angeles,CA,90046-7660,34.085465,-118.346613,0.2,8
Adams State University,Alamosa,CO,81101,37.473636,-105.879642,0.3165,7
Aims Community College,Greeley,CO,80634,40.409559,-104.763415,0.3507,7
Arapahoe Community College,Littleton,CO,80160-9002,39.607505,-105.018631,0.2679,7
University of Colorado Denver/Anschutz Medical Campus,Denver,CO,80217-3364,39.745149,-104.837722,0.474,7
University of Colorado Colorado Springs,Colorado Springs,CO,80918,38.892735,-104.800296,0.4534,7
University of Colorado Boulder,Boulder,CO,80309-0017,40.008781,-105.270823,0.7503,7
Colorado Christian University,Lakewood,CO,80226,39.71388,-105.09456,0.5532,7
Colorado College,Colorado Springs,CO,80903,38.84886,-104.822697,0.86,7
Concorde Career College-Aurora,Aurora,CO,80010-4314,39.718699,-104.867089,0.6897,7
Colorado Mountain College,Glenwood Springs,CO,81601-0233,39.54636,-107.324441,0.259,7
Colorado School of Mines,Golden,CO,80401,39.751443,-105.223364,0.7944,7
Colorado State University-Fort Collins,Fort Collins,CO,80523-0100,40.574805,-105.080732,0.6691,7
Colorado Technical University-Colorado Springs,Colorado Springs,CO,80907-3812,38.895069,-104.85716,0.1761,7
Community College of Denver,Denver,CO,80204-2026,39.741413,-105.001044,0.1579,7
University of Denver,Denver,CO,80208,39.678005,-104.963259,0.7795,7
Fort Lewis College,Durango,CO,81301-3999,37.275939,-107.867422,0.4315,7
Front Range Community College,Westminster,CO,80031,39.901452,-105.038068,0.301,7
Colorado Mesa University,Grand Junction,CO,81501-3122,39.080643,-108.553275,0.4152,7
Metropolitan State University of Denver,Denver,CO,80217-3362,39.744202,-105.00504,0.2989,7
Morgan Community College,Fort  Morgan,CO,80701,40.258792,-103.771822,0.4607,7
Naropa University,Boulder,CO,80302-6697,40.014235,-105.266987,0.4595,7
University of Northern Colorado,Greeley,CO,80639,40.410855,-104.692777,0.5134,7
Pikes Peak State College,Colorado Springs,CO,80906-5498,38.764287,-104.787261,0.23,7
Pueblo Community College,Pueblo,CO,81004-1499,38.262124,-104.636258,0.3746,7
Red Rocks Community College,Lakewood,CO,80228-1255,39.720277,-105.150094,0.3737,7
Regis University,Denver,CO,80221-1099,39.788175,-105.030756,0.6111,7
Rocky Mountain College of Art and Design,Lakewood,CO,80214,39.74332,-105.069911,0.3651,7
Montessori Education Center of the Rockies,Denver,CO,80205,39.762942,-104.943415,0.9167,7
Colorado State University Pueblo,Pueblo,CO,81001-4901,38.30859,-104.579033,0.3798,7
Trinidad State College,Trinidad,CO,81082,37.172059,-104.513451,0.5572,7
United States Air Force Academy,USAF Academy,CO,80840-5002,39.010957,-104.891358,0.8814,0
Western Colorado University,Gunnison,CO,81231,38.549936,-106.919132,0.5067,7
Albertus Magnus College,New Haven,CT,06511-1189,41.332519,-72.923848,0.4609,1
Bais Binyomin Academy,Monsey,NY,10952,41.123013,-74.078802,0.5714,2
University of Bridgeport,Bridgeport,CT,06604-5620,41.164741,-73.190166,0.4809,1
Central Connecticut State University,New Britain,CT,06050,41.692502,-72.765991,0.4933,1
Connecticut College,New London,CT,06320-4196,41.379833,-72.107321,0.8375,1
University of Connecticut,Storrs,CT,06269,41.809098,-72.249948,0.838,1
Goodwin University,East Hartford,CT,06118,41.742977,-72.64032,0.5833,1
Eastern Connecticut State University,Willimantic,CT,06226,41.721673,-72.218753,0.5814,1
Fairfield University,Fairfield,CT,06824-5195,41.157673,-73.255903,0.8379,1
University of Hartford,West Hartford,CT,06117-1599,41.798591,-72.715213,0.5828,1
Holy Apostles College and Seminary,Cromwell,CT,06416-2005,41.60682,-72.647853,1.0,1
Mitchell College,New London,CT,06320,41.328013,-72.09523,0.4414,1
University of New Haven,West Haven,CT,06516-1916,41.291314,-72.961472,0.5925,1
Paier College,Bridgeport,CT,06606,41.163451,-73.194727,0.5714,1
Post University,Waterbury,CT,06723,41.535549,-73.081497,0.3534,1
Quinnipiac University,Hamden,CT,06518,41.418915,-72.894117,0.7728,1
Sacred Heart University,Fairfield,CT,06825-1000,41.220893,-73.243332,0.745,1
University of Saint Joseph,West Hartford,CT,06117,41.781041,-72.72965,0.697,1
Southern Connecticut State University,New Haven,CT,06515-1355,41.333225,-72.947897,0.4782,1
Trinity College,Hartford,CT,06106-3100,41.747451,-72.690882,0.8276,1
United States Coast Guard Academy,New London,CT,06320-4195,41.375823,-72.101583,0.8789,0
Wesleyan University,Middletown,CT,06459,41.554665,-72.657146,0.9157,1
Western Connecticut State University,Danbury,CT,06810-6826,41.400365,-73.444264,0.5025,1
Yale University,New Haven,CT,06520,41.311158,-72.926688,0.9633,1
Delaware Technical Community College-Terry,Dover,DE,19901,39.198371,-75.56012,0.1945,2
Delaware State University,Dover,DE,19901,39.187173,-75.54053,0.3866,2
University of Delaware,Newark,DE,19716,39.679577,-75.752822,0.7878,2
Goldey-Beacom College,Wilmington,DE,19808,39.741501,-75.689624,0.5886,2
Wilmington University,New Castle,DE,19720,39.682299,-75.586998,0.2257,2
American University,Washington,DC,20016-8001,38.936005,-77.088875,0.7849,2
The Catholic University of America,Washington,DC,20064,38.933651,-76.997909,0.8133,2
University of the District of Columbia,Washington,DC,20008,38.943819,-77.066247,0.2626,2
Gallaudet University,Washington,DC,20002-3695,38.907371,-76.993675,0.4656,2
George Washington University,Washington,DC,20052,38.89923,-77.048363,0.8518,2
Georgetown University,Washington,DC,20057-0001,38.908809,-77.073463,0.943,2
Howard University,Washington,DC,20059,38.922392,-77.018966,0.689,2
Strayer University-District of Columbia,Washington,DC,20005,38.904881,-77.034133,0.0,2
Trinity Washington University,Washington,DC,20017-1094,38.927398,-77.004261,0.444,2
Baptist University of Florida,Graceville,FL,32440,30.962708,-85.503931,0.6923,5
Barry University,Miami,FL,33161-6695,25.878908,-80.198925,0.3659,5
Bethune-Cookman University,Daytona Beach,FL,32114-3099,29.207195,-81.032946,0.2783,5
Lynn University,Boca Raton,FL,33431-5598,26.385985,-80.122806,0.5269,5
Eastern Florida State College,Melbourne,FL,32935,28.170002,-80.670781,0.5122,5
Broward College,Fort Lauderdale,FL,33301,26.119422,-80.14183,0.3611,5
Albizu University-Miami,Miami,FL,33172-2209,25.795181,-80.354942,0.6,5
College of Central Florida,Ocala,FL,34474,29.166079,-82.175692,0.4396,5
Johnson University Florida,Kissimmee,FL,34744,28.302547,-81.363053,0.2364,5
University of Central Florida,Orlando,FL,32816,28.602159,-81.200889,0.7515,5
Chipola College,Marianna,FL,32446-2053,30.789228,-85.23139,0.6126,5
Daytona State College,Daytona Beach,FL,32114,29.20278,-81.049513,0.4123,5
South University-West Palm Beach,Royal Palm Beach,FL,33411,26.69215,-80.200219,0.2143,5
Eckerd College,Saint Petersburg,FL,33711-4700,27.715798,-82.687043,0.6756,5
Florida SouthWestern State College,Fort Myers,FL,33919,26.552403,-81.887102,0.3854,5
Edward Waters University,Jacksonville,FL,32209,30.34479,-81.684879,0.2795,5
Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,32114-3900,29.189903,-81.048367,0.6736,5
Florida Agricultural and Mechanical University,Tallahassee,FL,32307,30.428504,-84.290226,0.5194,5
Florida Atlantic University,Boca Raton,FL,33431-0991,26.372421,-80.102978,0.6433,5
Florida State College at Jacksonville,Jacksonville,FL,32202,30.334918,-81.659901,0.3243,5
Flagler College,Saint Augustine,FL,32084,29.892733,-81.314887,0.5589,5
Florida College,Temple Terrace,FL,33617,28.034936,-82.383289,0.5064,5
AdventHealth University,Orlando,FL,32803,28.576142,-81.367687,0.3562,5
Florida Institute of Technology,Melbourne,FL,32901-6975,28.065773,-80.623123,0.6545,5
Florida International University,Miami,FL,33199,25.75732,-80.373928,0.7387,5
The College of the Florida Keys,Key West,FL,33040,24.582748,-81.74446,0.408,5
Florida Memorial University,Miami Gardens,FL,33054-6199,25.918278,-80.270753,0.3023,5
Florida Southern College,Lakeland,FL,33801-5698,28.032443,-81.948203,0.6933,5
Florida State University,Tallahassee,FL,32306-1037,30.443147,-84.295064,0.8299,5
University of Florida,Gainesville,FL,32611,29.64629,-82.347911,0.9151,5
Full Sail University,Winter Park,FL,32792-7429,28.596546,-81.301286,0.4959,5
Gulf Coast State College,Panama City,FL,32401,30.185542,-85.727918,0.448,5
Hillsborough Community College,Tampa,FL,33606-3584,27.934888,-82.456253,0.332,5
Hobe Sound Bible College,Hobe Sound,FL,33455,27.066304,-80.13184,0.6071,5
Indian River State College,Fort Pierce,FL,34981-5596,27.42416,-80.358682,0.4248,5
Jacksonville University,Jacksonville,FL,32211-3394,30.353227,-81.60458,0.5697,5
Keiser University-Ft Lauderdale,Fort Lauderdale,FL,33309,26.185869,-80.163959,0.4421,5
Florida Gateway College,Lake City,FL,32025-2007,30.175298,-82.5679,0.5657,5
Lake-Sumter State College,Leesburg,FL,34788-8751,28.828649,-81.797193,0.4466,5
Luther Rice College & Seminary,Lithonia,GA,30038-9869,33.698126,-84.123179,0.0,5
State College of Florida-Manatee-Sarasota,Bradenton,FL,34207,27.43804,-82.590887,0.3487,5
Miami Dade College,Miami,FL,33132-2204,25.777717,-80.190856,0.4469,5
University of Miami,Coral Gables,FL,33146,25.72126,-80.278662,0.8423,5
North Florida College,Madison,FL,32340,30.473841,-83.420732,0.6348,5
University of North Florida,Jacksonville,FL,32224-7699,30.27194,-81.509144,0.6818,5
Nova Southeastern University,Fort Lauderdale,FL,33328-2004,26.082288,-80.249891,0.6434,5
Northwest Florida State College,Niceville,FL,32578-1295,30.540017,-86.47456,0.4288,5
Palm Beach Atlantic University,West Palm Beach,FL,33401,26.7044,-80.05247,0.5895,5
Palm Beach State College,Lake Worth,FL,33461-4796,26.61256,-80.08653,0.4122,5
Pasco-Hernando State College,New Port Richey,FL,34654-5199,28.2751,-82.646727,0.4293,5
Pensacola State College,Pensacola,FL,32504-8998,30.479267,-87.200265,0.4198,5
Polk State College,Winter Haven,FL,33881-4299,28.032411,-81.711873,0.3396,5
Ringling College of Art and Design,Sarasota,FL,34234-5895,27.360931,-82.547803,0.708,5
Rollins College,Winter Park,FL,32789-4499,28.592787,-81.349239,0.7689,5
Saint Leo University,Saint Leo,FL,33574-6665,28.336776,-82.257801,0.4878,5
St Petersburg College,St. Petersburg,FL,33701,27.773264,-82.636587,0.3747,5
Santa Fe College,Gainesville,FL,32606-6210,29.681037,-82.433143,0.5209,5
Seminole State College of Florida,Sanford,FL,32773-6199,28.745482,-81.308003,0.4195,5
St. John Vianney College Seminary,Miami,FL,33165-3244,25.742579,-80.337411,1.0,5
Saint Johns River State College,Palatka,FL,32177,29.647516,-81.681387,0.4573,5
South Florida State College,Avon Park,FL,33825-9356,27.56974,-81.508667,0.5113,5
University of South Florida,Tampa,FL,33620-9951,28.061458,-82.413232,0.7458,5
St. Thomas University,Miami Gardens,FL,33054-6459,25.922071,-80.253273,0.4342,5
Stetson University,DeLand,FL,32723,29.035475,-81.300746,0.628,5
Southeastern University,Lakeland,FL,33801-6034,28.029733,-81.918382,0.433,5
Tallahassee Community College,Tallahassee,FL,32304-2895,30.443866,-84.339,0.3692,5
Talmudic College of Florida,Miami Beach,FL,33140-3854,25.811996,-80.136293,0.5882,5
The University of Tampa,Tampa,FL,33606-1490,27.948455,-82.46483,0.6192,5
Trinity Baptist College,Jacksonville,FL,32221,30.311171,-81.79626,0.4423,5
Trinity College of Florida,Trinity,FL,34655-4401,28.194732,-82.678318,0.0,5
Valencia College,Orlando,FL,32811,28.520783,-81.464275,0.4352,5
Warner University,Lake Wales,FL,33859-8797,27.825751,-81.599972,0.3492,5
Webber International University,Babson Park,FL,33827-0096,27.838778,-81.532315,0.2601,5
Rasmussen University-Florida,Ocala,FL,34474-6226,29.140099,-82.197343,0.5103,5
University of West Florida,Pensacola,FL,32514-5750,30.549076,-87.218511,0.6176,5
Abraham Baldwin Agricultural College,Tifton,GA,31793-2601,31.481889,-83.528281,0.2912,5
Agnes Scott College,Decatur,GA,30030-3770,33.769268,-84.295459,0.7052,5
Albany State University,Albany,GA,31705,31.56928,-84.141825,0.2279,5
Andrew College,Cuthbert,GA,39840-5550,31.772321,-84.795021,0.2696,5
Point University,West Point,GA,31833,32.87912,-85.184931,0.4044,5
Atlanta Metropolitan State College,Atlanta,GA,30310-4448,33.70893,-84.404659,0.1429,5
Clark Atlanta University,Atlanta,GA,30314-4391,33.747628,-84.412584,0.478,5
Berry College,Mount Berry,GA,30149,34.290414,-85.189202,0.7391,5
